incident_id,timestamp,service_criticality,customer_impact_pct,affected_services,error_rate_pct,latency_increase_pct,recent_deploy,repeat_incident_30d,monitoring_confidence,is_p1
INC-000001,2024-01-01 00:00:00,1,1.679,2,6.506,10.605,1,0,0.5885,0
INC-000002,2024-01-01 03:00:00,4,13.828,2,3.263,19.16,0,0,0.83087,0
INC-000003,2024-01-01 06:00:00,4,12.242,2,3.376,10.876,0,0,0.66829,0
INC-000004,2024-01-01 09:00:00,3,4.824,7,4.971,6.736,0,0,0.86801,0
INC-000005,2024-01-01 12:00:00,3,3.11,2,3.331,43.085,0,0,0.66226,0
INC-000006,2024-01-01 15:00:00,5,14.774,3,6.536,41.081,0,0,0.66285,0
INC-000007,2024-01-01 18:00:00,1,13.42,3,2.77,4.122,0,0,0.68402,0
INC-000008,2024-01-01 21:00:00,4,5.301,1,3.378,21.865,0,0,0.71772,0
INC-000009,2024-01-02 00:00:00,2,1.52,2,2.745,47.451,0,0,0.85019,0
INC-000010,2024-01-02 03:00:00,1,1.864,2,2.096,36.563,0,0,0.7929,0
INC-000011,2024-01-02 06:00:00,3,8.664,3,8.926,9.6,0,1,0.72512,0
INC-000012,2024-01-02 09:00:00,5,39.26,1,11.732,51.088,0,0,0.95533,0
INC-000013,2024-01-02 12:00:00,4,33.383,4,10.162,47.49,0,1,0.69131,0
INC-000014,2024-01-02 15:00:00,4,1.167,3,1.298,26.669,1,0,0.6494,0
INC-000015,2024-01-02 18:00:00,4,11.0,4,0.782,17.001,0,0,0.94252,0
INC-000016,2024-01-02 21:00:00,4,3.462,4,0.768,9.475,0,0,0.61352,0
INC-000017,2024-01-03 00:00:00,3,25.202,6,1.34,20.955,0,0,0.8559,0
INC-000018,2024-01-03 03:00:00,1,8.539,5,5.141,56.14,0,0,0.86641,0
INC-000019,2024-01-03 06:00:00,5,17.45,3,0.581,9.809,1,0,0.54819,0
INC-000020,2024-01-03 09:00:00,3,14.577,4,4.172,59.532,0,0,0.56233,0
INC-000021,2024-01-03 12:00:00,3,29.524,3,2.084,35.325,1,1,0.7511,0
INC-000022,2024-01-03 15:00:00,2,9.292,5,2.985,20.942,0,0,0.55682,0
INC-000023,2024-01-03 18:00:00,1,34.784,2,9.796,47.779,0,0,0.82785,0
INC-000024,2024-01-03 21:00:00,5,4.405,2,3.111,20.465,0,0,0.55315,0
INC-000025,2024-01-04 00:00:00,4,30.669,2,3.346,18.066,0,1,0.89156,0
INC-000026,2024-01-04 03:00:00,4,24.938,2,3.932,41.794,1,1,0.49085,0
INC-000027,2024-01-04 06:00:00,3,3.947,3,17.795,21.629,0,1,0.8251,0
INC-000028,2024-01-04 09:00:00,5,40.175,3,2.583,20.512,0,1,0.88704,0
INC-000029,2024-01-04 12:00:00,3,8.587,3,2.546,12.819,0,0,0.92446,0
INC-000030,2024-01-04 15:00:00,3,12.255,2,6.753,17.773,0,0,0.48923,0
INC-000031,2024-01-04 18:00:00,3,0.385,5,15.156,64.406,1,0,0.89383,0
INC-000032,2024-01-04 21:00:00,2,1.108,2,17.558,1.46,0,1,0.72171,0
INC-000033,2024-01-05 00:00:00,1,17.863,2,6.121,9.546,1,0,0.61996,0
INC-000034,2024-01-05 03:00:00,3,29.695,2,0.973,11.198,0,0,0.80314,0
INC-000035,2024-01-05 06:00:00,5,2.986,4,4.249,19.263,1,0,0.48413,0
INC-000036,2024-01-05 09:00:00,1,53.054,2,1.878,16.869,0,1,0.65454,0
INC-000037,2024-01-05 12:00:00,5,34.801,7,7.067,24.252,1,0,0.89414,0
INC-000038,2024-01-05 15:00:00,5,21.776,2,0.767,2.528,1,1,0.62058,0
